Title,Price,Rating,Review Count,Availability
"YUYIU ÅEÄÅEUpgraded Wireless Controller for Ps4 Remote Plays-tation 4/Slim/Pro/PC, Gaming Controllers with Dual Vibration Shock Speaker, Camo Red with Headphone Jack Touch Pad Six Axis Motion Control",$19.99 ,4.3 out of 5 stars4.3 out of 5 stars,332 ratings332 ratings,In Stock
Diablo IV - PlayStation 4,$69.00 ,,43 ratings43 ratings,In Stock
PlayStation 5 Console (PS5),$499.00 ,4.3 out of 5 stars4.6 out of 5 stars4.5 out of 5 stars4.7 out of 5 stars4.6 out of 5 stars,"6,067 ratings6,067 ratings",In Stock
"Wirless Controller for 4 pro/Slim, Replacement for 4 Contoller, Support Multi-platform, Precision Control Gamepad Games Remote Bluetooth",$13.59 ,4.7 out of 5 stars4.7 out of 5 stars4.4 out of 5 stars,,In Stock
RollerCoaster Tycoon Adventures Deluxe - PlayStation 4,$39.99 ,,,"This item will be released on November 3, 2023."
PlayStation 4 Slim 1TB Console,$23.99 ,4.7 out of 5 stars4.7 out of 5 stars4.7 out of 5 stars4.7 out of 5 stars,"15,501 ratings15,501 ratings",
PlayStation 4 500GB Console [Old Model][Discontinued],$169.99 ,4.6 out of 5 stars4.6 out of 5 stars4.4 out of 5 stars4.5 out of 5 stars4.7 out of 5 stars,"13,694 ratings13,694 ratings",In Stock
"Newest Sony Playstation 4 PS4 1TB HDD Gaming Console Bundle with Three Games: The Last of Us, God of War, Horizon Zero Dawn, Included Dualshock 4 Wireless Controller",$250.00 ,4.6 out of 5 stars4.6 out of 5 stars4.4 out of 5 stars4.3 out of 5 stars4.6 out of 5 stars4.7 out of 5 stars4.7 out of 5 stars4.4 out of 5 stars,566 ratings566 ratings,
PlayStation¬Æ4 Console ÅEÄÅE Call of Duty¬Æ Modern Warfare II Bundle,$298.90 ,,9 ratings9 ratings,In Stock
"VidPPluing Wireless Controller for PS4/Pro/Slim Consoles, Game Remote Controller with 6-Axis Motion Sensor/Audio Function/Charging Cable-Red",$19.99 ,4.4 out of 5 stars4.7 out of 5 stars,382 ratings382 ratings,In Stock
